['2016-05-26 04:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '13', '80', u'ESE', '10']
['2016-05-26 03:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '13', '80', u'ESE', '13']
['2016-05-26 02:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '14', '79', u'ESE', '11']
['2016-05-26 01:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '15', '77', u'ESE', '11']
['2016-05-26 00:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '15', '75', u'ESE', '14']
['2016-05-25 23:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '16', '72', u'SE', '10']
['2016-05-25 22:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '17', '70', u'S', '3']
['2016-05-25 21:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '18', '66', u'S', '2']
['2016-05-25 20:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '19', '60', u'SSW', '10']
['2016-05-25 19:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '20', '58', u'ESE', '3']
['2016-05-25 18:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '20', '60', u'SW', '11']
['2016-05-25 17:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '22', '55', u'SW', '11']
['2016-05-25 16:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '24', '46', u'NNE', '18']
['2016-05-25 15:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '25', '42', u'NNW', '16']
['2016-05-25 14:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '25', '41', u'N', '6']
['2016-05-25 13:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '40', u'NNE', '11']
['2016-05-25 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '44', u'N', '16']
['2016-05-25 11:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '48', u'N', '11']
['2016-05-25 10:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '50', u'NNE', '8']
['2016-05-25 09:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '56', u'NE', '6']
['2016-05-25 08:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '68', u'NE', '6']
['2016-05-25 06:45:00', 0, 'images/weathericons/icon32.png', u'Sunny', '14', '77', u'ENE', '5']
['2016-05-25 06:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '13', '84', u'NE', '6']
['2016-05-25 05:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '12', '86', u'E', '6']
['2016-05-25 04:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '87', u'ENE', '6']
['2016-05-25 03:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '85', u'E', '6']
['2016-05-25 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '87', u'ESE', '5']
['2016-05-25 01:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '86', u'ENE', '5']
['2016-05-25 00:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '15', '85', u'NE', '3']
['2016-05-24 22:45:00', 0, 'images/weathericons/icon31.png', u'Clear', '17', '80', u'SSE', '6']
['2016-05-24 22:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '76', u'SSE', '10']
['2016-05-24 21:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '20', '69', u'WSW', '6']
['2016-05-24 20:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '65', u'WNW', '8']
['2016-05-24 19:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '23', '56', u'NE', '8']
['2016-05-24 18:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '55', u'E', '14']
['2016-05-24 17:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '54', u'E', '13']
['2016-05-24 16:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '54', u'E', '13']
['2016-05-24 15:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '25', '52', u'SE', '10']
['2016-05-24 14:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '26', '53', u'SE', '5']
['2016-05-24 13:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '25', '51', u'N', '14']
['2016-05-24 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '56', u'NNW', '13']
['2016-05-24 11:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '63', u'N', '13']
['2016-05-24 10:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '72', u'N', '10']
['2016-05-24 09:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '17', '81', u'N', '10']
['2016-05-24 08:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '15', '89', u'NNW', '11']
['2016-05-24 07:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '14', '88', u'NNW', '13']
['2016-05-24 06:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '14', '90', u'NNW', '13']
['2016-05-24 05:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '13', '92', u'NNW', '14']
['2016-05-24 04:05:00', 0, 'images/weathericons/icon27.png', u'Showers in the Vicinity', '13', '91', u'NNW', '13']
['2016-05-24 03:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '91', u'NNW', '8']
['2016-05-24 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '89', u'NW', '11']
['2016-05-24 01:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '90', u'NNW', '16']
['2016-05-24 00:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '90', u'N', '18']
['2016-05-23 23:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '88', u'NNW', '19']
['2016-05-23 22:05:00', 0, 'images/weathericons/icon27.png', u'Showers in the Vicinity', '15', '86', u'NNW', '21']
['2016-05-23 21:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '84', u'NNW', '21']
['2016-05-23 20:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '79', u'NNW', '21']
['2016-05-23 19:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '18', '75', u'NW', '16']
['2016-05-23 18:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '20', '70', u'NW', '19']
['2016-05-23 17:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '21', '67', u'NNW', '21']
['2016-05-23 16:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '21', '66', u'NNW', '19']
['2016-05-23 15:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '71', u'NNW', '21']
['2016-05-23 14:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '21', '69', u'NNW', '13']
['2016-05-23 13:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '20', '71', u'N', '16']
['2016-05-23 12:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '20', '74', u'NW', '18']
['2016-05-23 11:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '19', '73', u'N', '13']
['2016-05-23 10:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '19', '74', u'N', '14']
['2016-05-23 09:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '72', u'WNW', '10']
['2016-05-23 08:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '17', '76', u'WSW', '5']
['2016-05-23 07:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '16', '80', u'SSW', '5']
['2016-05-23 06:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '81', u'SSE', '3']
['2016-05-23 05:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '79', u'SSE', '2']
['2016-05-23 04:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '16', '78', u'E', '6']
